=== EWALUACJA HOLD-OUT ===
Trening: 10 obrazów | Test: 35 obrazów

--- Metoda: Filtr Frangi ---
Zdjęcie         | Acc      | Sens     | Spec     | G-Mean  
05_g.jpg        | 0.8886   | 0.7262   | 0.9022   | 0.8094  
05_h.jpg        | 0.8987   | 0.7146   | 0.9208   | 0.8111  
06_dr.JPG       | 0.8015   | 0.7932   | 0.8023   | 0.7978  
06_g.jpg        | 0.8754   | 0.7274   | 0.8884   | 0.8039  
06_h.jpg        | 0.9032   | 0.8382   | 0.9120   | 0.8743  
07_dr.JPG       | 0.8955   | 0.8053   | 0.9046   | 0.8535  
07_g.jpg        | 0.9166   | 0.7744   | 0.9285   | 0.8480  
07_h.jpg        | 0.8938   | 0.7722   | 0.9081   | 0.8374  
08_dr.JPG       | 0.9123   | 0.5581   | 0.9469   | 0.7269  
08_g.jpg        | 0.9191   | 0.7830   | 0.9310   | 0.8538  
08_h.jpg        | 0.8752   | 0.8049   | 0.8847   | 0.8439  
09_dr.JPG       | 0.9243   | 0.3752   | 0.9722   | 0.6040  
09_g.jpg        | 0.9097   | 0.7253   | 0.9253   | 0.8192  
09_h.jpg        | 0.9018   | 0.7475   | 0.9175   | 0.8281  
10_dr.JPG       | 0.8152   | 0.7977   | 0.8173   | 0.8074  
10_g.jpg        | 0.9324   | 0.7516   | 0.9476   | 0.8440  
10_h.jpg        | 0.8726   | 0.7759   | 0.8835   | 0.8280  
11_dr.JPG       | 0.8843   | 0.7977   | 0.8939   | 0.8445  
11_g.jpg        | 0.9082   | 0.7650   | 0.9225   | 0.8401  
11_h.jpg        | 0.8321   | 0.9042   | 0.8231   | 0.8627  
12_dr.JPG       | 0.9181   | 0.6427   | 0.9423   | 0.7782  
12_g.jpg        | 0.9172   | 0.7388   | 0.9365   | 0.8318  
12_h.jpg        | 0.9049   | 0.8762   | 0.9089   | 0.8924  
13_dr.JPG       | 0.9201   | 0.6666   | 0.9425   | 0.7926  
13_g.jpg        | 0.8974   | 0.7936   | 0.9065   | 0.8482  
13_h.jpg        | 0.8301   | 0.8668   | 0.8259   | 0.8461  
14_dr.JPG       | 0.9098   | 0.6687   | 0.9337   | 0.7902  
14_g.jpg        | 0.8202   | 0.8036   | 0.8217   | 0.8126  
14_h.jpg        | 0.8060   | 0.8340   | 0.8028   | 0.8183  
15_dr.JPG       | 0.9030   | 0.7670   | 0.9144   | 0.8375  
15_g.jpg        | 0.8607   | 0.7534   | 0.8709   | 0.8100  
15_h.jpg        | 0.9254   | 0.6971   | 0.9487   | 0.8132  

=========================================================
       PODSUMOWANIE (średnie na zbiorze testowym)        
=========================================================
Metoda                   | Acc      | Sens     | Spec     | G-Mean  
---------------------------------------------------------
Filtr Frangi             | 0.9042   | 0.5377   | 0.9414   | 0.7107  
Filtr Sato               | 0.9507   | 0.6319   | 0.9834   | 0.7880  
Klasyfikator ML          | 0.8574   | 0.8442   | 0.8579   | 0.8485  
Sieć neuronowa (CNN)     | 0.8849   | 0.7521   | 0.8973   | 0.8180  
